Pw_cl_graph_200000_2.1_0: nnz= 1373538, density= 4.8263149877546296e-05
Pw_cl_graph_200000_2.1_1: nnz= 1305236, density= 4.4953670190129116e-05
Pw_cl_graph_200000_2.1_2: nnz= 731410, density= 1.9293307456219768e-05
Pw_cl_graph_200000_2.1_3: nnz= 1318092, density= 4.605409151054522e-05
Pw_cl_graph_200000_2.1_4: nnz= 1219140, density= 4.153091906669015e-05
Pw_cl_graph_200000_2.1_5: nnz= 1337562, density= 4.7074901282237004e-05
Pw_cl_graph_200000_2.1_6: nnz= 1337986, density= 4.7028982231718525e-05
Pw_cl_graph_200000_2.1_7: nnz= 1360484, density= 4.7685101871419186e-05
Pw_cl_graph_200000_2.1_8: nnz= 1356112, density= 4.7727760303938804e-05
Pw_cl_graph_200000_2.1_9: nnz= 1325062, density= 4.676360598530693e-05
Pw_cl_graph_210000_2.1_0: nnz= 1395210, density= 4.459962721794087e-05
Pw_cl_graph_210000_2.1_1: nnz= 598266, density= 1.3753971534658197e-05
Pw_cl_graph_210000_2.1_2: nnz= 1449258, density= 4.626558554518662e-05
Pw_cl_graph_210000_2.1_3: nnz= 1365332, density= 4.35799601854676e-05
Pw_cl_graph_210000_2.1_4: nnz= 1388026, density= 4.449517534437011e-05
Pw_cl_graph_210000_2.1_5: nnz= 1425170, density= 4.550689314968691e-05
Pw_cl_graph_210000_2.1_6: nnz= 1408308, density= 4.4821455626395916e-05
Pw_cl_graph_210000_2.1_7: nnz= 1389780, density= 4.446626643955333e-05
Pw_cl_graph_210000_2.1_8: nnz= 1428016, density= 4.5508234365822754e-05
Pw_cl_graph_210000_2.1_9: nnz= 1366862, density= 4.371420656158943e-05
Pw_cl_graph_220000_2.1_0: nnz= 1423266, density= 4.0981262361776936e-05
Pw_cl_graph_220000_2.1_1: nnz= 1409196, density= 3.996562500778312e-05
Pw_cl_graph_220000_2.1_2: nnz= 1492600, density= 4.338502949470626e-05
Pw_cl_graph_220000_2.1_3: nnz= 1484814, density= 4.319224182030707e-05
Pw_cl_graph_220000_2.1_4: nnz= 1441522, density= 4.190035809142969e-05
Pw_cl_graph_220000_2.1_5: nnz= 1422866, density= 4.043078967785722e-05
Pw_cl_graph_220000_2.1_6: nnz= 1475224, density= 4.2572767997989136e-05
Pw_cl_graph_220000_2.1_7: nnz= 1443732, density= 4.201532069247036e-05
Pw_cl_graph_220000_2.1_8: nnz= 1254792, density= 3.3643350891373516e-05
Pw_cl_graph_220000_2.1_9: nnz= 1502772, density= 4.3647274897116495e-05
Pw_cl_graph_230000_2.1_0: nnz= 1579344, density= 4.19930851148274e-05
Pw_cl_graph_230000_2.1_1: nnz= 1542406, density= 4.1165753350514664e-05
Pw_cl_graph_230000_2.1_2: nnz= 1270304, density= 3.061408922150421e-05
Pw_cl_graph_230000_2.1_3: nnz= 1515832, density= 3.9359087215766056e-05
Pw_cl_graph_230000_2.1_4: nnz= 1536372, density= 4.08846507532473e-05
Pw_cl_graph_230000_2.1_5: nnz= 1539886, density= 4.0847835069993546e-05
Pw_cl_graph_230000_2.1_6: nnz= 1487924, density= 3.873741626790776e-05
Pw_cl_graph_230000_2.1_7: nnz= 1518464, density= 4.0499553716289304e-05
Pw_cl_graph_230000_2.1_8: nnz= 1509722, density= 3.9989586382427816e-05
Pw_cl_graph_230000_2.1_9: nnz= 1563712, density= 4.1742590081304465e-05
Pw_cl_graph_240000_2.1_0: nnz= 1572404, density= 3.8482175617499074e-05
Pw_cl_graph_240000_2.1_1: nnz= 1566990, density= 3.8129417966250315e-05
Pw_cl_graph_240000_2.1_2: nnz= 1586438, density= 3.837892506529261e-05
Pw_cl_graph_240000_2.1_3: nnz= 1604144, density= 3.926751035402384e-05
Pw_cl_graph_240000_2.1_4: nnz= 1650002, density= 4.0414449680085773e-05
Pw_cl_graph_240000_2.1_5: nnz= 1568606, density= 3.7667631404698285e-05
Pw_cl_graph_240000_2.1_6: nnz= 1588458, density= 3.891433513711095e-05
Pw_cl_graph_240000_2.1_7: nnz= 1583760, density= 3.831677762104595e-05
Pw_cl_graph_240000_2.1_8: nnz= 1415402, density= 3.247956418334146e-05
Pw_cl_graph_240000_2.1_9: nnz= 1631976, density= 3.982260734869497e-05
Pw_cl_graph_250000_2.1_0: nnz= 1675004, density= 3.777731645166323e-05
Pw_cl_graph_250000_2.1_1: nnz= 1655628, density= 3.738966550652167e-05
Pw_cl_graph_250000_2.1_2: nnz= 1712408, density= 3.8623111155666586e-05
Pw_cl_graph_250000_2.1_3: nnz= 1652652, density= 3.732281211682234e-05
Pw_cl_graph_250000_2.1_4: nnz= 1650430, density= 3.713732108156999e-05
Pw_cl_graph_250000_2.1_5: nnz= 1708730, density= 3.850942296514158e-05
Pw_cl_graph_250000_2.1_6: nnz= 1696944, density= 3.79377358529436e-05
Pw_cl_graph_250000_2.1_7: nnz= 1637972, density= 3.704407869516948e-05
Pw_cl_graph_250000_2.1_8: nnz= 1638664, density= 3.699636324401907e-05
Pw_cl_graph_250000_2.1_9: nnz= 1644692, density= 3.707465473032943e-05
Pw_cl_graph_260000_2.1_0: nnz= 1770546, density= 3.678054265430632e-05
