Pw_cl_graph_200000_2.0_0: nnz= 1441772, density= 4.539398706456985e-05
Pw_cl_graph_200000_2.0_1: nnz= 1626982, density= 5.4220261543589526e-05
Pw_cl_graph_200000_2.0_2: nnz= 1823690, density= 6.272432925234605e-05
Pw_cl_graph_200000_2.0_3: nnz= 1825170, density= 6.278038713350697e-05
Pw_cl_graph_200000_2.0_4: nnz= 1781074, density= 6.106576097897897e-05
Pw_cl_graph_200000_2.0_5: nnz= 1785472, density= 6.11091574158243e-05
Pw_cl_graph_200000_2.0_6: nnz= 1829766, density= 6.296580012084326e-05
Pw_cl_graph_200000_2.0_7: nnz= 1469334, density= 4.854023846021421e-05
Pw_cl_graph_200000_2.0_8: nnz= 1888032, density= 6.496093804457732e-05
Pw_cl_graph_200000_2.0_9: nnz= 1750522, density= 5.9946629597056413e-05
Pw_cl_graph_210000_2.0_0: nnz= 1884454, density= 5.883881146743108e-05
Pw_cl_graph_210000_2.0_1: nnz= 1864634, density= 5.825837308794418e-05
Pw_cl_graph_210000_2.0_2: nnz= 1651096, density= 4.9953446433726894e-05
Pw_cl_graph_210000_2.0_3: nnz= 1781988, density= 5.503570267733289e-05
Pw_cl_graph_210000_2.0_4: nnz= 1862622, density= 5.786383708762365e-05
Pw_cl_graph_210000_2.0_5: nnz= 1923522, density= 5.9553095155215607e-05
Pw_cl_graph_210000_2.0_6: nnz= 1855436, density= 5.732767642485732e-05
Pw_cl_graph_210000_2.0_7: nnz= 1891900, density= 5.847120942074933e-05
Pw_cl_graph_210000_2.0_8: nnz= 1867048, density= 5.814773355877643e-05
Pw_cl_graph_210000_2.0_9: nnz= 1437348, density= 4.055211637091069e-05
Pw_cl_graph_220000_2.0_0: nnz= 1951036, density= 5.530954796305512e-05
Pw_cl_graph_220000_2.0_1: nnz= 1981676, density= 5.619550804420098e-05
Pw_cl_graph_220000_2.0_2: nnz= 1802902, density= 5.014330985446335e-05
Pw_cl_graph_220000_2.0_3: nnz= 2025036, density= 5.7388413797633874e-05
Pw_cl_graph_220000_2.0_4: nnz= 1962918, density= 5.5878806104274446e-05
Pw_cl_graph_220000_2.0_5: nnz= 1958808, density= 5.5111235640562294e-05
Pw_cl_graph_220000_2.0_6: nnz= 1613362, density= 4.216994203755553e-05
Pw_cl_graph_220000_2.0_7: nnz= 2037404, density= 5.765785539268522e-05
Pw_cl_graph_220000_2.0_8: nnz= 1918480, density= 5.3816629203686e-05
Pw_cl_graph_220000_2.0_9: nnz= 1651902, density= 4.349380991898041e-05
Pw_cl_graph_230000_2.0_0: nnz= 2095658, density= 5.39691392588218e-05
Pw_cl_graph_230000_2.0_1: nnz= 2149164, density= 5.563693979147665e-05
Pw_cl_graph_230000_2.0_2: nnz= 1637480, density= 3.843465196431102e-05
Pw_cl_graph_230000_2.0_3: nnz= 1901292, density= 4.851111757062818e-05
Pw_cl_graph_230000_2.0_4: nnz= 1580332, density= 3.638511317862168e-05
Pw_cl_graph_230000_2.0_5: nnz= 2038324, density= 5.258812225787995e-05
Pw_cl_graph_230000_2.0_6: nnz= 2093360, density= 5.435036452077391e-05
Pw_cl_graph_230000_2.0_7: nnz= 2101026, density= 5.4675807878667495e-05
Pw_cl_graph_230000_2.0_8: nnz= 2106754, density= 5.485956645366607e-05
Pw_cl_graph_230000_2.0_9: nnz= 2005612, density= 5.183943731656769e-05
Pw_cl_graph_240000_2.0_0: nnz= 2074736, density= 4.851059186799773e-05
Pw_cl_graph_240000_2.0_1: nnz= 2165338, density= 5.1793975571275785e-05
Pw_cl_graph_240000_2.0_2: nnz= 2117054, density= 5.0315174369754206e-05
Pw_cl_graph_240000_2.0_3: nnz= 2229940, density= 5.3331924680839305e-05
Pw_cl_graph_240000_2.0_4: nnz= 2229868, density= 5.337143420344183e-05
Pw_cl_graph_240000_2.0_5: nnz= 1421156, density= 2.8306233020353287e-05
Pw_cl_graph_240000_2.0_6: nnz= 2073356, density= 4.905539808751959e-05
Pw_cl_graph_240000_2.0_7: nnz= 2036284, density= 4.769358898042146e-05
Pw_cl_graph_240000_2.0_8: nnz= 2245188, density= 5.3632583525104685e-05
Pw_cl_graph_240000_2.0_9: nnz= 1735718, density= 3.9030883445856486e-05
Pw_cl_graph_250000_2.0_0: nnz= 2248682, density= 4.913336864285713e-05
Pw_cl_graph_250000_2.0_1: nnz= 2213498, density= 4.8181552089598944e-05
Pw_cl_graph_250000_2.0_2: nnz= 1964930, density= 4.0561951121461524e-05
Pw_cl_graph_250000_2.0_3: nnz= 2266982, density= 5.002164250325139e-05
Pw_cl_graph_250000_2.0_4: nnz= 2219998, density= 4.856699623103653e-05
Pw_cl_graph_250000_2.0_5: nnz= 1964674, density= 4.131375480060085e-05
Pw_cl_graph_250000_2.0_6: nnz= 2338936, density= 5.1500892584619916e-05
Pw_cl_graph_250000_2.0_7: nnz= 2274622, density= 5.007348741651868e-05
Pw_cl_graph_250000_2.0_8: nnz= 2311342, density= 5.096454306399836e-05
Pw_cl_graph_250000_2.0_9: nnz= 2210588, density= 4.862140321359117e-05
Pw_cl_graph_260000_2.0_0: nnz= 2361466, density= 4.813116715179958e-05
Pw_cl_graph_260000_2.0_1: nnz= 1897688, density= 3.647706920761029e-05
Pw_cl_graph_260000_2.0_2: nnz= 2406682, density= 4.8874307813032645e-05
Pw_cl_graph_260000_2.0_3: nnz= 2294324, density= 4.6427973728035094e-05
Pw_cl_graph_260000_2.0_4: nnz= 2353518, density= 4.768586889969778e-05
Pw_cl_graph_260000_2.0_5: nnz= 2394930, density= 4.8696638278780553e-05
Pw_cl_graph_260000_2.0_6: nnz= 2405892, density= 4.904152427956197e-05
Pw_cl_graph_260000_2.0_7: nnz= 2387518, density= 4.8551182602035424e-05
