Pw_cl_graph_270000_2.2_5: nnz= 1422120, density= 2.8052595703428624e-05
Pw_cl_graph_270000_2.2_6: nnz= 1367312, density= 2.6936035527611348e-05
Pw_cl_graph_270000_2.2_7: nnz= 1405288, density= 2.7760749371279973e-05
Pw_cl_graph_270000_2.2_8: nnz= 1377392, density= 2.725690459268663e-05
Pw_cl_graph_270000_2.2_9: nnz= 1396174, density= 2.7634969568564968e-05
Pw_cl_graph_280000_2.2_0: nnz= 1341406, density= 2.3223228055030038e-05
Pw_cl_graph_280000_2.2_1: nnz= 1410314, density= 2.5953162278897185e-05
Pw_cl_graph_280000_2.2_2: nnz= 1420326, density= 2.6109622452822697e-05
Pw_cl_graph_280000_2.2_3: nnz= 1377482, density= 2.53261542669611e-05
Pw_cl_graph_280000_2.2_4: nnz= 1431136, density= 2.6185373147716215e-05
Pw_cl_graph_280000_2.2_5: nnz= 1489034, density= 2.7223064575887674e-05
Pw_cl_graph_280000_2.2_6: nnz= 1495796, density= 2.745905266699039e-05
Pw_cl_graph_280000_2.2_7: nnz= 1436820, density= 2.642710370359582e-05
Pw_cl_graph_280000_2.2_8: nnz= 1477566, density= 2.715836271337145e-05
Pw_cl_graph_280000_2.2_9: nnz= 1368224, density= 2.518897754650367e-05
Pw_cl_graph_290000_2.2_0: nnz= 1525060, density= 2.6120940941992963e-05
Pw_cl_graph_290000_2.2_1: nnz= 1473580, density= 2.52588500648991e-05
Pw_cl_graph_290000_2.2_2: nnz= 1462238, density= 2.5063605034960298e-05
Pw_cl_graph_290000_2.2_3: nnz= 1514250, density= 2.595963459101705e-05
Pw_cl_graph_290000_2.2_4: nnz= 1532500, density= 2.6175307537090618e-05
Pw_cl_graph_290000_2.2_5: nnz= 1490428, density= 2.5443250821309147e-05
Pw_cl_graph_290000_2.2_6: nnz= 1480874, density= 2.537484191410979e-05
Pw_cl_graph_290000_2.2_7: nnz= 1474630, density= 2.5271407301531894e-05
Pw_cl_graph_290000_2.2_8: nnz= 1494850, density= 2.5545963561471596e-05
Pw_cl_graph_290000_2.2_9: nnz= 1535790, density= 2.6210049196004985e-05
Pw_cl_graph_300000_2.2_0: nnz= 1515392, density= 2.4246465971339826e-05
Pw_cl_graph_300000_2.2_1: nnz= 1529114, density= 2.439785310212206e-05
Pw_cl_graph_300000_2.2_2: nnz= 1561718, density= 2.4886048849047927e-05
Pw_cl_graph_300000_2.2_3: nnz= 1526588, density= 2.439144329532751e-05
Pw_cl_graph_300000_2.2_4: nnz= 1580986, density= 2.5122234400763723e-05
Pw_cl_graph_300000_2.2_5: nnz= 1519114, density= 2.4333458958819357e-05
Pw_cl_graph_300000_2.2_6: nnz= 1324678, density= 1.8481297973841403e-05
Pw_cl_graph_300000_2.2_7: nnz= 1547526, density= 2.4738443385435957e-05
Pw_cl_graph_300000_2.2_8: nnz= 1552256, density= 2.4878670053634642e-05
Pw_cl_graph_300000_2.2_9: nnz= 1486526, density= 2.3696751878186097e-05
Pw_cl_graph_310000_2.2_0: nnz= 1598884, density= 2.394742543275171e-05
Pw_cl_graph_310000_2.2_1: nnz= 1670972, density= 2.4982634877547465e-05
Pw_cl_graph_310000_2.2_2: nnz= 1578186, density= 2.3644007179710083e-05
Pw_cl_graph_310000_2.2_3: nnz= 1645140, density= 2.4551593177344225e-05
Pw_cl_graph_310000_2.2_4: nnz= 1591524, density= 2.3938621186839292e-05
Pw_cl_graph_310000_2.2_5: nnz= 1608032, density= 2.401153056528553e-05
Pw_cl_graph_310000_2.2_6: nnz= 1570194, density= 2.3490982653038204e-05
Pw_cl_graph_310000_2.2_7: nnz= 1602576, density= 2.3884629200012903e-05
Pw_cl_graph_310000_2.2_8: nnz= 1579692, density= 2.368691902364216e-05
Pw_cl_graph_310000_2.2_9: nnz= 1545706, density= 2.317910614630374e-05
Pw_cl_graph_320000_2.2_0: nnz= 1672138, density= 2.3558179622915968e-05
Pw_cl_graph_320000_2.2_1: nnz= 1681084, density= 2.3524830870935117e-05
Pw_cl_graph_320000_2.2_2: nnz= 1631864, density= 2.294803012988882e-05
Pw_cl_graph_320000_2.2_3: nnz= 1652642, density= 2.3241265868304518e-05
Pw_cl_graph_320000_2.2_4: nnz= 1659356, density= 2.3348467313814782e-05
Pw_cl_graph_320000_2.2_5: nnz= 1680244, density= 2.3516418820942543e-05
Pw_cl_graph_320000_2.2_6: nnz= 1651434, density= 2.3211915393162128e-05
Pw_cl_graph_320000_2.2_7: nnz= 1654434, density= 2.326978283572253e-05
Pw_cl_graph_320000_2.2_8: nnz= 1658948, density= 2.330791610960025e-05
Pw_cl_graph_320000_2.2_9: nnz= 1666670, density= 2.3393780054870023e-05
Pw_cl_graph_330000_2.2_0: nnz= 1687798, density= 2.226889051122955e-05
Pw_cl_graph_330000_2.2_1: nnz= 1748692, density= 2.3129759975816414e-05
Pw_cl_graph_330000_2.2_2: nnz= 1668214, density= 2.2077328417518257e-05
Pw_cl_graph_330000_2.2_3: nnz= 1700602, density= 2.247373116496906e-05
Pw_cl_graph_330000_2.2_4: nnz= 1709790, density= 2.255479363620642e-05
Pw_cl_graph_330000_2.2_5: nnz= 1740382, density= 2.2966023129574285e-05
Pw_cl_graph_330000_2.2_6: nnz= 1752880, density= 2.3145910218317073e-05
Pw_cl_graph_330000_2.2_7: nnz= 1652164, density= 2.180871396462473e-05
Pw_cl_graph_330000_2.2_8: nnz= 1687928, density= 2.230316113214411e-05
Pw_cl_graph_330000_2.2_9: nnz= 1733794, density= 2.2896052203709812e-05
