Pw_cl_graph_270000_1.8_6: nnz= 3828242, density= 6.612157020831295e-05
Pw_cl_graph_270000_1.8_7: nnz= 2247492, density= 3.6218733941237576e-05
Pw_cl_graph_270000_1.8_8: nnz= 710062, density= 9.742600857854522e-06
Pw_cl_graph_270000_1.8_9: nnz= 2201122, density= 3.317387717357205e-05
Pw_cl_graph_280000_1.8_0: nnz= 1443928, density= 1.8998084393207947e-05
Pw_cl_graph_280000_1.8_1: nnz= 3194472, density= 5.007152878232843e-05
Pw_cl_graph_280000_1.8_2: nnz= 3632708, density= 5.40159005335377e-05
Pw_cl_graph_280000_1.8_3: nnz= 1963038, density= 2.598851524082799e-05
Pw_cl_graph_280000_1.8_4: nnz= 3014802, density= 4.3537345697602495e-05
Pw_cl_graph_280000_1.8_5: nnz= 5200186, density= 8.671151522634511e-05
Pw_cl_graph_280000_1.8_6: nnz= 3061198, density= 4.646735665430854e-05
Pw_cl_graph_280000_1.8_7: nnz= 2455126, density= 3.3702208567636384e-05
Pw_cl_graph_280000_1.8_8: nnz= 1694878, density= 2.4464721267242443e-05
Pw_cl_graph_280000_1.8_9: nnz= 3766444, density= 5.839195240613833e-05
Pw_cl_graph_290000_1.8_0: nnz= 5648598, density= 8.792552153299022e-05
Pw_cl_graph_290000_1.8_1: nnz= 4420990, density= 6.53499872341608e-05
Pw_cl_graph_290000_1.8_2: nnz= 5072922, density= 7.795501821621774e-05
Pw_cl_graph_290000_1.8_3: nnz= 1554342, density= 2.0167466300724482e-05
Pw_cl_graph_290000_1.8_4: nnz= 4687562, density= 7.163449044028035e-05
Pw_cl_graph_290000_1.8_5: nnz= 3566202, density= 5.018119938782564e-05
Pw_cl_graph_290000_1.8_6: nnz= 4938542, density= 7.623928442101964e-05
Pw_cl_graph_290000_1.8_7: nnz= 1168160, density= 1.5335791545198972e-05
Pw_cl_graph_290000_1.8_8: nnz= 1902868, density= 2.3566329449991482e-05
Pw_cl_graph_290000_1.8_9: nnz= 5108970, density= 7.883682823129918e-05
Pw_cl_graph_300000_1.8_0: nnz= 3611070, density= 5.067976896053028e-05
Pw_cl_graph_300000_1.8_1: nnz= 2353590, density= 2.7461743202846572e-05
Pw_cl_graph_300000_1.8_2: nnz= 3628802, density= 4.8406040184103695e-05
Pw_cl_graph_300000_1.8_3: nnz= 3969452, density= 5.393364619626012e-05
Pw_cl_graph_300000_1.8_4: nnz= 2630326, density= 3.1760575362872974e-05
Pw_cl_graph_300000_1.8_5: nnz= 4702680, density= 6.680043042388899e-05
Pw_cl_graph_300000_1.8_6: nnz= 3292484, density= 4.386655264989208e-05
Pw_cl_graph_300000_1.8_7: nnz= 2405162, density= 3.065574776460824e-05
Pw_cl_graph_300000_1.8_8: nnz= 4500704, density= 6.280254159120038e-05
Pw_cl_graph_300000_1.8_9: nnz= 2372150, density= 2.7711422125351776e-05
Pw_cl_graph_310000_1.8_0: nnz= 4129846, density= 5.409882167517929e-05
Pw_cl_graph_310000_1.8_1: nnz= 2800224, density= 3.206713550159436e-05
Pw_cl_graph_310000_1.8_2: nnz= 936874, density= 9.756060197734866e-06
Pw_cl_graph_310000_1.8_3: nnz= 4192560, density= 5.132554431714552e-05
Pw_cl_graph_310000_1.8_4: nnz= 1944032, density= 2.085881499562732e-05
