Pw_cl_graph_200000_1.9_0: nnz= 2317346, density= 7.617688646099328e-05
Pw_cl_graph_200000_1.9_1: nnz= 2328538, density= 7.721981422336052e-05
Pw_cl_graph_200000_1.9_2: nnz= 2353228, density= 7.828635073353099e-05
Pw_cl_graph_200000_1.9_3: nnz= 2053862, density= 6.512224357529065e-05
Pw_cl_graph_200000_1.9_4: nnz= 1718820, density= 5.32337934162082e-05
Pw_cl_graph_200000_1.9_5: nnz= 2318878, density= 7.638044344859396e-05
Pw_cl_graph_200000_1.9_6: nnz= 572954, density= 1.4360733371963985e-05
Pw_cl_graph_200000_1.9_7: nnz= 2271436, density= 7.524382672417355e-05
Pw_cl_graph_200000_1.9_8: nnz= 1379786, density= 3.830867394283043e-05
Pw_cl_graph_200000_1.9_9: nnz= 1937000, density= 6.116313073604976e-05
Pw_cl_graph_210000_1.9_0: nnz= 2713804, density= 8.246150249553574e-05
Pw_cl_graph_210000_1.9_1: nnz= 2342734, density= 7.03545899152425e-05
Pw_cl_graph_210000_1.9_2: nnz= 2113586, density= 6.000899187606535e-05
Pw_cl_graph_210000_1.9_3: nnz= 2525696, density= 7.561026453867328e-05
Pw_cl_graph_210000_1.9_4: nnz= 2537824, density= 7.619996999773308e-05
Pw_cl_graph_210000_1.9_5: nnz= 2221042, density= 6.553420969625987e-05
Pw_cl_graph_210000_1.9_6: nnz= 1695946, density= 4.357673696981839e-05
Pw_cl_graph_210000_1.9_7: nnz= 2398416, density= 7.241038003727714e-05
Pw_cl_graph_210000_1.9_8: nnz= 2268620, density= 6.668135822609634e-05
Pw_cl_graph_210000_1.9_9: nnz= 1305334, density= 3.395916040677215e-05
Pw_cl_graph_220000_1.9_0: nnz= 2764842, density= 7.628939539709071e-05
Pw_cl_graph_220000_1.9_1: nnz= 2511344, density= 6.835506968065303e-05
Pw_cl_graph_220000_1.9_2: nnz= 489448, density= 1.0113573315518692e-05
Pw_cl_graph_220000_1.9_3: nnz= 2699692, density= 7.444089002493441e-05
Pw_cl_graph_220000_1.9_4: nnz= 2669638, density= 7.400025685435107e-05
Pw_cl_graph_220000_1.9_5: nnz= 2410678, density= 6.50674027879794e-05
Pw_cl_graph_220000_1.9_6: nnz= 1708424, density= 4.040934875215504e-05
Pw_cl_graph_220000_1.9_7: nnz= 2707732, density= 7.475598137359983e-05
Pw_cl_graph_220000_1.9_8: nnz= 1756518, density= 4.366632467674281e-05
Pw_cl_graph_220000_1.9_9: nnz= 2587858, density= 7.11321594322707e-05
Pw_cl_graph_230000_1.9_0: nnz= 2392184, density= 5.899947895036833e-05
Pw_cl_graph_230000_1.9_1: nnz= 1824060, density= 3.909086871493917e-05
Pw_cl_graph_230000_1.9_2: nnz= 2588994, density= 6.406648577452074e-05
Pw_cl_graph_230000_1.9_3: nnz= 2750762, density= 6.883236120738316e-05
Pw_cl_graph_230000_1.9_4: nnz= 2851530, density= 7.192553080238112e-05
Pw_cl_graph_230000_1.9_5: nnz= 2776322, density= 6.940527376128743e-05
Pw_cl_graph_230000_1.9_6: nnz= 1973226, density= 4.532827499648142e-05
Pw_cl_graph_230000_1.9_7: nnz= 2179694, density= 5.175999852755471e-05
Pw_cl_graph_230000_1.9_8: nnz= 2795630, density= 7.054246097696498e-05
Pw_cl_graph_230000_1.9_9: nnz= 2916320, density= 7.363740417120139e-05
Pw_cl_graph_240000_1.9_0: nnz= 2792036, density= 6.394386031428853e-05
Pw_cl_graph_240000_1.9_1: nnz= 3077890, density= 7.162747320309315e-05
Pw_cl_graph_240000_1.9_2: nnz= 2736502, density= 6.23178052335593e-05
Pw_cl_graph_240000_1.9_3: nnz= 3172706, density= 7.411689974866067e-05
Pw_cl_graph_240000_1.9_4: nnz= 2334076, density= 5.031718614219879e-05
Pw_cl_graph_240000_1.9_5: nnz= 2579946, density= 5.762788145351942e-05
Pw_cl_graph_240000_1.9_6: nnz= 2384404, density= 5.149965169448074e-05
Pw_cl_graph_240000_1.9_7: nnz= 2589856, density= 5.688166055759944e-05
Pw_cl_graph_240000_1.9_8: nnz= 3109638, density= 7.27933852001284e-05
Pw_cl_graph_240000_1.9_9: nnz= 3054212, density= 7.079612028927201e-05
Pw_cl_graph_250000_1.9_0: nnz= 3227404, density= 6.91488553913895e-05
Pw_cl_graph_250000_1.9_1: nnz= 3077328, density= 6.576099778450795e-05
Pw_cl_graph_250000_1.9_2: nnz= 2938422, density= 6.218862581279562e-05
Pw_cl_graph_250000_1.9_3: nnz= 3191388, density= 6.826213186459942e-05
Pw_cl_graph_250000_1.9_4: nnz= 2898786, density= 6.107299187087465e-05
Pw_cl_graph_250000_1.9_5: nnz= 3178864, density= 6.796092897147068e-05
Pw_cl_graph_250000_1.9_6: nnz= 2231526, density= 4.4440238254276064e-05
Pw_cl_graph_250000_1.9_7: nnz= 2996170, density= 6.343881588912078e-05
Pw_cl_graph_250000_1.9_8: nnz= 2886778, density= 6.104731990471287e-05
Pw_cl_graph_250000_1.9_9: nnz= 3034266, density= 6.464877787699025e-05
Pw_cl_graph_260000_1.9_0: nnz= 2921772, density= 5.7033677405147425e-05
Pw_cl_graph_260000_1.9_1: nnz= 2211600, density= 4.085212031020533e-05
Pw_cl_graph_260000_1.9_2: nnz= 2938878, density= 5.731288239023951e-05
Pw_cl_graph_260000_1.9_3: nnz= 2565482, density= 4.850947801773373e-05
Pw_cl_graph_260000_1.9_4: nnz= 3231438, density= 6.393597000086911e-05
Pw_cl_graph_260000_1.9_5: nnz= 2682268, density= 5.168133504563692e-05
Pw_cl_graph_260000_1.9_6: nnz= 2766280, density= 5.2832429531137836e-05
Pw_cl_graph_260000_1.9_7: nnz= 3234530, density= 6.341811063682389e-05
Pw_cl_graph_260000_1.9_8: nnz= 3187880, density= 6.273826251898642e-05
Pw_cl_graph_260000_1.9_9: nnz= 1118210, density= 1.6939628434447718e-05
Pw_cl_graph_270000_1.9_0: nnz= 2936170, density= 5.2198060359052674e-05
Pw_cl_graph_270000_1.9_1: nnz= 3114864, density= 5.5942288443975574e-05
Pw_cl_graph_270000_1.9_2: nnz= 3564052, density= 6.57020543272738e-05
Pw_cl_graph_270000_1.9_3: nnz= 3499420, density= 6.438004983939957e-05
Pw_cl_graph_270000_1.9_4: nnz= 3336354, density= 6.111345494820062e-05
Pw_cl_graph_270000_1.9_5: nnz= 3412350, density= 6.226437189813537e-05
Pw_cl_graph_270000_1.9_6: nnz= 3354186, density= 6.124125424927335e-05
Pw_cl_graph_270000_1.9_7: nnz= 3509946, density= 6.457702410398033e-05
Pw_cl_graph_270000_1.9_8: nnz= 2175836, density= 3.521961828409628e-05
Pw_cl_graph_270000_1.9_9: nnz= 3395718, density= 6.220404596632245e-05
Pw_cl_graph_280000_1.9_0: nnz= 3063416, density= 5.151099096647018e-05
Pw_cl_graph_280000_1.9_1: nnz= 2916012, density= 4.743852160870022e-05
Pw_cl_graph_280000_1.9_2: nnz= 3097028, density= 5.19134083452352e-05
Pw_cl_graph_280000_1.9_3: nnz= 2861502, density= 4.727044357737387e-05
Pw_cl_graph_280000_1.9_4: nnz= 3119502, density= 5.2026091480121885e-05
Pw_cl_graph_280000_1.9_5: nnz= 3313838, density= 5.6178381470977876e-05
Pw_cl_graph_280000_1.9_6: nnz= 3492764, density= 5.9203853098613516e-05
Pw_cl_graph_280000_1.9_7: nnz= 3348242, density= 5.635621859260265e-05
Pw_cl_graph_280000_1.9_8: nnz= 2971688, density= 4.960950656340432e-05
Pw_cl_graph_280000_1.9_9: nnz= 1046526, density= 1.3460997861031456e-05
Pw_cl_graph_290000_1.9_0: nnz= 3529134, density= 5.5523606553581325e-05
Pw_cl_graph_290000_1.9_1: nnz= 2479558, density= 3.610875982283016e-05
Pw_cl_graph_290000_1.9_2: nnz= 1387590, density= 1.708400648429858e-05
Pw_cl_graph_290000_1.9_3: nnz= 2817830, density= 4.2614288557938546e-05
Pw_cl_graph_290000_1.9_4: nnz= 3255976, density= 5.105052427484656e-05
Pw_cl_graph_290000_1.9_5: nnz= 3772914, density= 6.0160938727964515e-05
Pw_cl_graph_290000_1.9_6: nnz= 3820920, density= 6.073757801105195e-05
Pw_cl_graph_290000_1.9_7: nnz= 3754076, density= 5.9773167079126344e-05
Pw_cl_graph_290000_1.9_8: nnz= 3647898, density= 5.796224880231797e-05
Pw_cl_graph_290000_1.9_9: nnz= 3781714, density= 6.048322828935513e-05
Pw_cl_graph_300000_1.9_0: nnz= 3371892, density= 4.958744428199907e-05
Pw_cl_graph_300000_1.9_1: nnz= 3923522, density= 5.834325680717062e-05
Pw_cl_graph_300000_1.9_2: nnz= 3972720, density= 5.921129942406041e-05
Pw_cl_graph_300000_1.9_3: nnz= 3623416, density= 5.323247979806004e-05
Pw_cl_graph_300000_1.9_4: nnz= 3181638, density= 4.583093866015732e-05
Pw_cl_graph_300000_1.9_5: nnz= 3105556, density= 4.338690520116726e-05
Pw_cl_graph_300000_1.9_6: nnz= 3587704, density= 5.276201052491371e-05
Pw_cl_graph_300000_1.9_7: nnz= 3466298, density= 5.0416269587826285e-05
Pw_cl_graph_300000_1.9_8: nnz= 3789924, density= 5.6260271134131667e-05
Pw_cl_graph_300000_1.9_9: nnz= 4016326, density= 5.987601716587884e-05
Pw_cl_graph_310000_1.9_0: nnz= 3161508, density= 4.103539536875673e-05
Pw_cl_graph_310000_1.9_1: nnz= 2275052, density= 2.6597120267145296e-05
Pw_cl_graph_310000_1.9_2: nnz= 2866830, density= 3.748176787543335e-05
Pw_cl_graph_310000_1.9_3: nnz= 4105318, density= 5.727636363197624e-05
Pw_cl_graph_310000_1.9_4: nnz= 3394176, density= 4.580236649113009e-05
Pw_cl_graph_310000_1.9_5: nnz= 3643328, density= 4.9944132913096295e-05
Pw_cl_graph_310000_1.9_6: nnz= 3974766, density= 5.5249614215448683e-05
Pw_cl_graph_310000_1.9_7: nnz= 4124628, density= 5.7514402725164244e-05
Pw_cl_graph_310000_1.9_8: nnz= 3019960, density= 3.907557253515655e-05
Pw_cl_graph_310000_1.9_9: nnz= 3424920, density= 4.665633174963815e-05
Pw_cl_graph_320000_1.9_0: nnz= 3425914, density= 4.280809615796686e-05
Pw_cl_graph_320000_1.9_1: nnz= 3225908, density= 3.8842953719689565e-05
Pw_cl_graph_320000_1.9_2: nnz= 4055838, density= 5.2575310523363815e-05
Pw_cl_graph_320000_1.9_3: nnz= 3655186, density= 4.6481060102730475e-05
Pw_cl_graph_320000_1.9_4: nnz= 2914674, density= 3.44424143313138e-05
Pw_cl_graph_320000_1.9_5: nnz= 3281038, density= 4.1504179613694734e-05
Pw_cl_graph_320000_1.9_6: nnz= 3655916, density= 4.6758076758089714e-05
Pw_cl_graph_320000_1.9_7: nnz= 1687204, density= 1.7120037952352106e-05
Pw_cl_graph_320000_1.9_8: nnz= 3444282, density= 4.3418629103740005e-05
Pw_cl_graph_320000_1.9_9: nnz= 3840884, density= 4.9826914104087726e-05
Pw_cl_graph_330000_1.9_0: nnz= 3542514, density= 4.2546751602611836e-05
Pw_cl_graph_330000_1.9_1: nnz= 1340608, density= 1.2513704987354783e-05
Pw_cl_graph_330000_1.9_2: nnz= 4393226, density= 5.4145615487966966e-05
Pw_cl_graph_330000_1.9_3: nnz= 3709078, density= 4.4229073581174587e-05
Pw_cl_graph_330000_1.9_4: nnz= 4030234, density= 4.9073221346681567e-05
Pw_cl_graph_330000_1.9_5: nnz= 3761662, density= 4.5696756091705566e-05
Pw_cl_graph_330000_1.9_6: nnz= 3761718, density= 4.5204838930553156e-05
Pw_cl_graph_330000_1.9_7: nnz= 4065210, density= 4.9731711795333384e-05
Pw_cl_graph_330000_1.9_8: nnz= 3228998, density= 3.651542764908528e-05
Pw_cl_graph_330000_1.9_9: nnz= 3930862, density= 4.784587596105562e-05
Pw_cl_graph_340000_1.9_0: nnz= 3617688, density= 3.9684549275923595e-05
Pw_cl_graph_340000_1.9_1: nnz= 2488178, density= 2.578148768204749e-05
Pw_cl_graph_340000_1.9_2: nnz= 3998486, density= 4.5862726893902765e-05
Pw_cl_graph_340000_1.9_3: nnz= 4557176, density= 5.291517251805213e-05
Pw_cl_graph_340000_1.9_4: nnz= 4365144, density= 5.055612609597322e-05
Pw_cl_graph_340000_1.9_5: nnz= 4117084, density= 4.702630912614582e-05
Pw_cl_graph_340000_1.9_6: nnz= 4354478, density= 5.0112827954186857e-05
Pw_cl_graph_340000_1.9_7: nnz= 857322, density= 7.422129508382754e-06
Pw_cl_graph_340000_1.9_8: nnz= 4454152, density= 5.1594722486349136e-05
Pw_cl_graph_340000_1.9_9: nnz= 4041800, density= 4.6014800878105245e-05
Pw_cl_graph_350000_1.9_0: nnz= 4221136, density= 4.504758076714174e-05
Pw_cl_graph_350000_1.9_1: nnz= 2504646, density= 2.4427819880025784e-05
Pw_cl_graph_350000_1.9_2: nnz= 2770118, density= 2.564557825557948e-05
Pw_cl_graph_350000_1.9_3: nnz= 4468460, density= 4.8432483559458805e-05
Pw_cl_graph_350000_1.9_4: nnz= 3156104, density= 3.020430620910146e-05
Pw_cl_graph_350000_1.9_5: nnz= 3019686, density= 2.8721149393446356e-05
Pw_cl_graph_350000_1.9_6: nnz= 4310364, density= 4.666820615816276e-05
Pw_cl_graph_350000_1.9_7: nnz= 3877186, density= 4.113152520284044e-05
Pw_cl_graph_350000_1.9_8: nnz= 3184006, density= 3.243337155230494e-05
Pw_cl_graph_350000_1.9_9: nnz= 4430610, density= 4.8345115439982726e-05
Pw_cl_graph_360000_1.9_0: nnz= 4322656, density= 4.415767249028789e-05
Pw_cl_graph_360000_1.9_1: nnz= 4651170, density= 4.7775856689844155e-05
Pw_cl_graph_360000_1.9_2: nnz= 4347198, density= 4.473750159240924e-05
Pw_cl_graph_360000_1.9_3: nnz= 3683186, density= 3.7015584869986207e-05
Pw_cl_graph_360000_1.9_4: nnz= 3387362, density= 3.125661606102795e-05
Pw_cl_graph_360000_1.9_5: nnz= 1896610, density= 1.5136500995989715e-05
Pw_cl_graph_360000_1.9_6: nnz= 4393064, density= 4.5240856730717857e-05
Pw_cl_graph_360000_1.9_7: nnz= 4480944, density= 4.590542988923953e-05
Pw_cl_graph_360000_1.9_8: nnz= 4595508, density= 4.7450761396976603e-05
Pw_cl_graph_360000_1.9_9: nnz= 1119330, density= 8.666535119668896e-06
Pw_cl_graph_370000_1.9_0: nnz= 4633264, density= 4.5202635437759355e-05
Pw_cl_graph_370000_1.9_1: nnz= 5187836, density= 5.095950290653607e-05
Pw_cl_graph_370000_1.9_2: nnz= 3777178, density= 3.3820945847548956e-05
Pw_cl_graph_370000_1.9_3: nnz= 2894734, density= 2.593923170126892e-05
Pw_cl_graph_370000_1.9_4: nnz= 4470688, density= 4.324804503695514e-05
Pw_cl_graph_370000_1.9_5: nnz= 4213058, density= 3.985235256409826e-05
Pw_cl_graph_370000_1.9_6: nnz= 4541068, density= 4.375288385677072e-05
Pw_cl_graph_370000_1.9_7: nnz= 3124298, density= 2.8182281669718534e-05
Pw_cl_graph_370000_1.9_8: nnz= 4760722, density= 4.6472544392644196e-05
Pw_cl_graph_370000_1.9_9: nnz= 4951346, density= 4.837626655852656e-05
Pw_cl_graph_380000_1.9_0: nnz= 4651892, density= 4.262482375148313e-05
